"","category","continent"
"874","art","Africa"
"875","art","America"
"876","art","America"
"877","art","Europe"
"878","art","America"
"879","art","Europe"
"880","art","America"
"881","art","America"
"882","art","Europe"
"883","art","America"
"884","art","Europe"
"885","art","America"
"886","art","America"
"887","art","America"
"888","art","Europe"
"889","art","Europe"
"890","art","Europe"
"891","art","Europe"
"892","art","America"
"893","art","America"
"894","art","Europe"
"895","art","America"
"896","art","Europe"
"897","art","Europe"
"898","art","Europe"
"899","art","America"
"900","art","America"
"901","art","America"
"902","art","America"
"903","art","America"
"904","art","Europe"
"905","art","America"
"906","art","America"
"907","art","Africa"
"908","art","Europe"
"909","art","America"
"910","art","America"
"911","art","America"
"912","art","America"
"913","art","Europe"
"914","art","America"
"915","art","Europe"
"916","art","America"
"917","art","Europe"
"918","art","Europe"
"919","art","America"
"920","art","Europe"
"921","art","Europe"
"922","art","America"
"923","art","America"
"924","art","Europe"
"925","art","Europe"
"926","art","Europe"
"927","art","Europe"
"928","art","America"
"929","art","Europe"
"930","art","Europe"
"931","art","Europe"
"932","art","Europe"
"933","art","Europe"
"934","art","Europe"
"935","art","Europe"
"936","art","America"
"937","art","Europe"
"938","art","Europe"
"939","art","America"
"940","art","Europe"
"941","art","America"
"942","art","America"
"943","art","America"
"944","art","America"
"945","art","America"
"946","art","Europe"
"947","art","Europe"
"948","art","Europe"
"949","art","Europe"
"950","art","America"
"951","art","Europe"
"952","art","America"
"953","art","America"
"954","art","America"
"955","art","Africa"
"956","art","Europe"
"957","art","Europe"
"958","art","America"
"959","education","Australia"
"960","education","America"
"961","education","America"
"962","education","Asia"
"963","education","Asia"
"964","education","America"
"965","education","Asia"
"966","education","Asia"
"967","education","Asia"
"968","education","America"
"969","education","America"
"970","education","Asia"
"971","education","Europe"
"972","education","Africa"
"973","education","America"
"974","education","Asia"
"975","education","Australia"
"976","education","America"
"977","education","Asia"
"978","education","Asia"
"979","education","Asia"
"980","education","America"
"981","education","Asia"
"982","education","Asia"
"983","education","Asia"
"984","education","Asia"
"985","education","Asia"
"986","education","Europe"
"987","education","Australia"
"988","education","America"
"989","education","America"
"990","education","America"
"991","education","America"
"992","education","Asia"
"993","education","Europe"
"994","education","America"
"995","education","Asia"
"996","education","Asia"
"997","education","Asia"
"998","education","Asia"
"999","education","Africa"
"1000","education","Europe"
"1001","education","Asia"
"1002","education","Asia"
"1003","education","Europe"
"1004","education","America"
"1005","education","Europe"
"1006","education","Asia"
"1007","education","Europe"
"1008","education","Europe"
"1009","education","Indian"
"1010","education","Asia"
"1011","education","Australia"
"1012","education","America"
"1013","education","America"
"1014","education","America"
"1015","education","America"
"1016","education","Europe"
"1017","education","Asia"
"1018","education","Australia"
"1019","education","Asia"
"1020","education","America"
"1021","education","America"
"1022","education","America"
"1023","education","Asia"
"1024","education","Asia"
"1025","education","America"
"1026","education","America"
"1027","education","Africa"
"1028","education","Etc"
"1029","education","Asia"
"1030","education","Asia"
"1031","education","Europe"
"1032","education","Europe"
"1033","education","America"
"1034","education","Asia"
"1035","education","Europe"
"1036","education","Asia"
"1037","education","Asia"
"1038","education","Europe"
"1039","education","America"
"1040","education","America"
"1041","education","America"
"1042","education","Asia"
"1043","education","Africa"
"1044","education","Asia"
"1045","education","Asia"
"1046","education","America"
"1047","education","Asia"
"1048","education","America"
"1049","education","Africa"
"1050","education","America"
"1051","education","America"
"1052","education","America"
"1053","education","America"
"1054","education","America"
"1055","education","America"
"1056","education","America"
"1057","education","Europe"
"1058","education","America"
"1059","education","America"
"1060","education","America"
"1061","education","Asia"
"1062","education","Asia"
"1063","education","Asia"
"1064","education","America"
"1065","education","Europe"
"1066","education","Africa"
"1067","education","Asia"
"1068","education","America"
"1069","education","Pacific"
"1070","education","America"
"1071","education","Asia"
"1072","education","America"
"1073","education","America"
"1074","education","Asia"
"1075","education","Asia"
"1076","education","America"
"1077","education","Europe"
"1078","education","Europe"
"1079","education","Africa"
"1080","education","Asia"
"1081","education","Europe"
"1082","education","Australia"
"1083","education","Asia"
"1084","education","America"
"1085","education","Africa"
"1086","education","Asia"
"1087","education","Asia"
"1088","education","Asia"
"1089","education","America"
"1090","education","Africa"
"1091","education","Africa"
"1092","education","Europe"
"1093","education","Asia"
"1094","education","Asia"
"1095","education","Europe"
"1096","education","Asia"
"1097","education","Africa"
"1098","education","America"
"1099","education","Asia"
"1100","education","Asia"
"1101","education","Europe"
"1102","education","Africa"
"1103","education","America"
"1104","education","Europe"
"1105","education","Asia"
"1106","education","America"
"1107","education","America"
"1108","education","America"
"1109","education","Asia"
"1110","education","America"
"1111","education","America"
"1112","education","America"
"1113","education","America"
"1114","education","Asia"
"1115","education","Europe"
"1116","education","Europe"
"1117","education","Africa"
"1118","education","Europe"
"1119","education","Africa"
"1120","education","Europe"
